dependent,property,N,spearman_rho_full,p_value_full,spearman_rho_primary,p_value_primary
KAP,log_Trh,20,-0.394430059474038,0.0852617014584701,-0.3357171880256125,0.1478708421831043
KAP,dyn_age_12Gyr_over_Trh,20,0.394430059474038,0.0852617014584701,0.3357171880256125,0.1478708421831043
KAP,RGC_kpc_struct,20,-0.3172932330827067,0.1728368864071423,-0.0571428571428571,0.8108800461568324
KAP,RPeri_kpc,20,-0.2948477079516159,0.2069565734645278,-0.2805566200662059,0.2308592318708906
KAP,RApo_kpc,20,-0.2075187969924811,0.3799932369932469,0.0180451127819548,0.9398091995407436
KAP,log_mass,20,-0.5654135338345864,0.0093743177506315,-0.3593984962406014,0.1196325063290389
KAP,rh_l_pc,20,0.0240601503759398,0.9197997451459456,-0.1458646616541353,0.5394664944297438
KAP,rc_over_rh,20,0.1729323308270676,0.465940085192417,0.2451127819548871,0.2976005003886619
KAP,Rmax_Rh,20,-0.4285714285714286,0.0593797746860656,-0.1699248120300751,0.4738490648941122
KAP,FeH,20,0.1112781954887217,0.6404548402871416,0.0210526315789473,0.929799402445708
KAP,M_V,20,0.4887218045112781,0.0287720300549961,0.3323308270676691,0.1522587891703606
KAP,ARot_kms,18,-0.2961816305469556,0.2327168574106844,-0.283797729618163,0.2537564179087559
KAP,eta_h,20,-0.3606863293853743,0.1182165922851636,-0.5414075719914633,0.0136862142289673
