group,description,cluster
I,Radial KAP + negative GKI,NGC0104
I,Radial KAP + negative GKI,NGC2808
I,Radial KAP + negative GKI,NGC6715
I,Radial KAP + negative GKI,NGC7078
I,Radial KAP + negative GKI,NGC7099
II,Isotropic KAP + negative GKI,NGC0362
II,Isotropic KAP + negative GKI,NGC1261
II,Isotropic KAP + negative GKI,NGC1851
II,Isotropic KAP + negative GKI,NGC5904
II,Isotropic KAP + negative GKI,NGC5986
II,Isotropic KAP + negative GKI,NGC6205
II,Isotropic KAP + negative GKI,NGC6254
II,Isotropic KAP + negative GKI,NGC6388
II,Isotropic KAP + negative GKI,NGC6541
II,Isotropic KAP + negative GKI,NGC6624
II,Isotropic KAP + negative GKI,NGC6637
II,Isotropic KAP + negative GKI,NGC6681
II,Isotropic KAP + negative GKI,NGC6723
III,Isotropic KAP + flat GKI,NGC5927
III,Isotropic KAP + flat GKI,NGC6441
