cluster,KAP,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean,abs_diff_KAP_vs_minus_beta_norm_wmean,abs_diff_KAP_vs_dispersionweighted
NGC0104,-0.0263310856799495,-0.029984119753433,-0.0263310856799495,0.0036530340734834,0.0036530340734834,3.469446951953614e-18
NGC0362,0.0121558406503014,0.0154665892801497,0.0121558406503014,-0.0033107486298482,0.0033107486298482,0.0
NGC1261,0.0066881728001082,-0.0021259940222417,0.0066881728001082,0.00881416682235,0.00881416682235,0.0
NGC1851,-0.0250735597254816,-0.0281658224978791,-0.0250735597254816,0.0030922627723974,0.0030922627723974,0.0
NGC2808,-0.0725693345279348,-0.0772177375586014,-0.0725693345279348,0.0046484030306666,0.0046484030306666,0.0
NGC5904,-0.0041685209600013,-0.0052639839114602,-0.0041685209600013,0.0010954629514589,0.0010954629514589,0.0
NGC5927,-0.0152906957506491,-0.0164201225864146,-0.0152906957506491,0.0011294268357654,0.0011294268357654,0.0
NGC5986,-0.0375209139894452,-0.0391533160567278,-0.0375209139894452,0.0016324020672825,0.0016324020672825,6.938893903907228e-18
NGC6205,-0.0128822823591842,-0.0152313457550092,-0.0128822823591842,0.002349063395825,0.002349063395825,6.938893903907228e-18
NGC6254,0.0476502655212774,0.0473673438503823,0.0476502655212774,0.0002829216708951,0.0002829216708951,0.0
NGC6388,-0.0449915790457954,-0.0475548714431681,-0.0449915790457954,0.0025632923973727,0.0025632923973727,0.0
NGC6441,-0.1006318895137109,-0.1059376044979479,-0.1006318895137109,0.005305714984237,0.005305714984237,0.0
NGC6541,-0.0065158261853715,-0.0010365552583518,-0.0065158261853715,-0.0054792709270196,0.0054792709270196,0.0
NGC6624,0.0183683084615948,0.0312335086857732,0.0183683084615948,-0.0128652002241783,0.0128652002241783,0.0
NGC6637,0.0235734926827894,0.0360586035525195,0.0235734926827894,-0.01248511086973,0.01248511086973,0.0
NGC6681,-0.0438960232676396,-0.0595885567702454,-0.0438960232676396,0.0156925335026058,0.0156925335026058,0.0
NGC6715,-0.0702610330844243,-0.0700274480940379,-0.0702610330844243,-0.0002335849903863,0.0002335849903863,0.0
NGC6723,-0.0550756287060496,-0.0479436552408643,-0.0550756287060496,-0.0071319734651853,0.0071319734651853,0.0
NGC7078,-0.1002303756859923,-0.1112497403558634,-0.1002303756859923,0.0110193646698711,0.0110193646698711,0.0
NGC7099,-0.0634813883196372,-0.057818489360837,-0.0634813883196372,-0.0056628989588002,0.0056628989588002,0.0
